ANNOTATION,MEDIATOR,TEST,POTENTIAL_SET,TYPE,TEST_STAT,GREATER,LESS,TWO_SIDED,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,Maximum FST,Correlation Test,1,NA,-0.008980036,0.77370295,0.226297,0.4525941,0.9998131,0.796172991648107
Absolute Distance to TSS,Maximum FST,Correlation Test,2,NA,-0.02982187,0.997274498,0.002725502,0.005451005,0.9998131,0.44036325171428575
Absolute Distance to TSS,Maximum FST,Correlation Test,3,NA,-0.007581939,0.765897971,0.234102,0.4682041,0.9998131,0.796172991648107
CTCF Binding Site,Maximum FST,Correlation Test,1,NA,0.009948705,0.2000929,0.79990714,0.40018572,0.9998131,0.9087891711864406
CTCF Binding Site,Maximum FST,Correlation Test,2,NA,-0.005285968,0.6909238,0.309076222,0.61815244,0.9998131,0.796172991648107
CTCF Binding Site,Maximum FST,Correlation Test,3,NA,0.01160762,0.1305254,0.869474644,0.26105071,0.9998131,0.9303460949517502
Enhancer,Maximum FST,Correlation Test,1,NA,0.0019476,0.43460288,0.56539712,0.86920576,0.9998131,0.8147136787681528
Enhancer,Maximum FST,Correlation Test,2,NA,-0.005857247,0.70963282,0.29036718,0.58073435,0.9998131,0.796172991648107
Enhancer,Maximum FST,Correlation Test,3,NA,-0.01208316,0.87899109,0.12100891,0.24201781,0.9998131,0.796172991648107
Open chromatin,Maximum FST,Correlation Test,1,NA,-0.01852943,0.941442,0.05855796,0.11711593,0.9998131,0.6557331956435644
Open chromatin,Maximum FST,Correlation Test,2,NA,-0.01950191,0.9670575,0.03294245,0.0658849,0.9998131,0.5990746111267605
Open chromatin,Maximum FST,Correlation Test,3,NA,-0.001741692,0.5669578,0.43304216,0.86608431,0.9998131,0.8033575694320755
Promoter Flanking Region,Maximum FST,Correlation Test,1,NA,0.01510069,0.10081748,0.89918252,0.20163496,0.9998131,0.9339993991622364
Promoter Flanking Region,Maximum FST,Correlation Test,2,NA,-0.003274807,0.62126238,0.37873762,0.75747525,0.9998131,0.8020078137221269
Promoter Flanking Region,Maximum FST,Correlation Test,3,NA,-0.01274905,0.89145572,0.10854428,0.21708856,0.9998131,0.7720979916981133
Promoter,Maximum FST,Correlation Test,1,NA,-0.02404463,0.978892236,0.02110776,0.042215527,0.9998131,0.5467772182653061
Promoter,Maximum FST,Correlation Test,2,NA,-0.003231646,0.619589298,0.3804107,0.760821403,0.9998131,0.8020078137221269
Promoter,Maximum FST,Correlation Test,3,NA,0.001819184,0.430163223,0.56983678,0.860326446,0.9998131,0.8163107833367089
TF binding site,Maximum FST,Correlation Test,1,NA,-8.582649e-4,0.52892599,0.47107401,0.942148,0.9998131,0.8033575694320755
TF binding site,Maximum FST,Correlation Test,2,NA,-0.01449534,0.91417262,0.08582738,0.1716548,0.9998131,0.7257536915454545
TF binding site,Maximum FST,Correlation Test,3,NA,-0.006427661,0.73313171,0.26686829,0.5337366,0.9998131,0.796172991648107
CADD.RawScore,Maximum FST,Correlation Test,1,NA,-0.02451073,0.980633,0.01936697,0.03873395,0.9998131,0.5467772182653061
CADD.RawScore,Maximum FST,Correlation Test,2,NA,-0.009148468,0.8050379,0.19496207,0.38992414,0.9998131,0.796172991648107
CADD.RawScore,Maximum FST,Correlation Test,3,NA,-0.004959202,0.6839243,0.31607575,0.6321515,0.9998131,0.796172991648107
CADD.PHRED,Maximum FST,Correlation Test,1,NA,-0.02354175,0.9764425,0.0235575,0.047115,0.9998131,0.5467772182653061
CADD.PHRED,Maximum FST,Correlation Test,2,NA,-0.009559851,0.8155185,0.18448147,0.36896293,0.9998131,0.796172991648107
CADD.PHRED,Maximum FST,Correlation Test,3,NA,-0.005023709,0.6861362,0.31386384,0.62772769,0.9998131,0.796172991648107
SIFTval,Maximum FST,Correlation Test,1,NA,0.51146271,0.02566297,0.97433703,0.05132594,0.9998131,0.9786635709857904
SIFTval,Maximum FST,Correlation Test,2,NA,0.09536174,0.40359843,0.59640157,0.80719686,0.9998131,0.8291851520944786
SIFTval,Maximum FST,Correlation Test,3,NA,-0.54033607,0.93343571,0.06656429,0.13312859,0.9998131,0.6782361440540541
