ANNOTATION,MEDIATOR,TEST,POTENTIAL_SET,TYPE,TEST_STAT,GREATER,LESS,TWO_SIDED,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,Maximum AF Diff,Correlation Test,1,NA,-0.04120283,0.992603518,0.007396482,0.01479296,0.9972231905861455,0.8664624181395348
Absolute Distance to TSS,Maximum AF Diff,Correlation Test,2,NA,-0.03849685,0.988824869,0.011175131,0.02235026,0.995869035475512,0.8664624181395348
Absolute Distance to TSS,Maximum AF Diff,Correlation Test,3,NA,-0.02203181,0.898178186,0.101821814,0.20364363,0.9724989181818182,0.8664624181395348
CTCF Binding Site,Maximum AF Diff,Correlation Test,1,NA,0.012918550000000001,0.2207421,0.779257876,0.44148425,0.9724989181818182,0.8823920459001957
CTCF Binding Site,Maximum AF Diff,Correlation Test,2,NA,-0.0025619,0.5608421,0.439157891,0.87831578,0.9724989181818182,0.874212124567474
CTCF Binding Site,Maximum AF Diff,Correlation Test,3,NA,-0.01285844,0.7726636,0.227336417,0.45467282999999997,0.9724989181818182,0.8664624181395348
Enhancer,Maximum AF Diff,Correlation Test,1,NA,0.005923825,0.36208879,0.637911214,0.72417757,0.9724989181818182,0.8823920459001957
Enhancer,Maximum AF Diff,Correlation Test,2,NA,0.0233727,0.08120816,0.918791836,0.16241633,0.9724989181818182,0.9387114422005419
Enhancer,Maximum AF Diff,Correlation Test,3,NA,-0.009688842,0.71339916,0.286600837,0.57320167,0.9724989181818182,0.8664624181395348
Open chromatin,Maximum AF Diff,Correlation Test,1,NA,-0.01510654,0.8159569,0.184043144,0.368086289,0.9724989181818182,0.8664624181395348
Open chromatin,Maximum AF Diff,Correlation Test,2,NA,-0.01503931,0.8156286,0.184371444,0.368742888,0.9724989181818182,0.8664624181395348
Open chromatin,Maximum AF Diff,Correlation Test,3,NA,0.00479389,0.3902267,0.609773329,0.780453343,0.9724989181818182,0.8823920459001957
Promoter Flanking Region,Maximum AF Diff,Correlation Test,1,NA,0.03227974,0.02721603,0.97278397,0.05443206,0.9724989181818182,0.9771036146269982
Promoter Flanking Region,Maximum AF Diff,Correlation Test,2,NA,-0.003026207,0.57174846,0.42825154,0.85650307,0.9724989181818182,0.8664624181395348
Promoter Flanking Region,Maximum AF Diff,Correlation Test,3,NA,-0.004292645,0.59853135,0.40146865,0.80293729,0.9724989181818182,0.8664624181395348
Promoter,Maximum AF Diff,Correlation Test,1,NA,-0.03160681,0.9700958,0.02990417,0.05980834,0.9836379967741936,0.8664624181395348
Promoter,Maximum AF Diff,Correlation Test,2,NA,-0.004292031,0.6011212,0.39887884,0.79775768,0.9724989181818182,0.8664624181395348
Promoter,Maximum AF Diff,Correlation Test,3,NA,-8.369106e-4,0.5193847,0.48061532,0.96123065,0.9724989181818182,0.8823920459001957
TF binding site,Maximum AF Diff,Correlation Test,1,NA,0.004702505,0.38969025,0.61030975,0.7793805,0.9724989181818182,0.8823920459001957
TF binding site,Maximum AF Diff,Correlation Test,2,NA,-0.01261699,0.77455776,0.22544224,0.45088449,0.9724989181818182,0.8664624181395348
TF binding site,Maximum AF Diff,Correlation Test,3,NA,-0.01558508,0.81755055,0.18244945,0.36489891,0.9724989181818182,0.8664624181395348
CADD.RawScore,Maximum AF Diff,Correlation Test,1,NA,-0.02228186,0.9076082,0.0923918,0.1847836,0.9724989181818182,0.8664624181395348
CADD.RawScore,Maximum AF Diff,Correlation Test,2,NA,-0.007421983,0.67111699,0.32888301,0.657766,0.9724989181818182,0.8664624181395348
CADD.RawScore,Maximum AF Diff,Correlation Test,3,NA,0.009823972,0.28416134,0.71583866,0.5683227,0.9724989181818182,0.8823920459001957
CADD.PHRED,Maximum AF Diff,Correlation Test,1,NA,-0.02075374,0.89162166,0.10837834,0.2167567,0.9724989181818182,0.8664624181395348
CADD.PHRED,Maximum AF Diff,Correlation Test,2,NA,-0.007638703,0.67578182,0.32421818,0.6484364,0.9724989181818182,0.8664624181395348
CADD.PHRED,Maximum AF Diff,Correlation Test,3,NA,0.00817415,0.31749784,0.68250216,0.6349957,0.9724989181818182,0.8823920459001957
SIFTval,Maximum AF Diff,Correlation Test,1,NA,0.7803667,0.006544604,0.9934554,0.01308921,0.9724989181818182,0.9943345640707965
SIFTval,Maximum AF Diff,Correlation Test,2,NA,0.1238751,0.42134083,0.57865917,0.84268166,0.9724989181818182,0.8823920459001957
SIFTval,Maximum AF Diff,Correlation Test,3,NA,-0.687068,0.900008859,0.09999114,0.19998228,0.9724989181818182,0.8664624181395348
PolyPhenVal,Maximum AF Diff,Correlation Test,1,NA,-0.888377002,0.9993152,6.847751e-4,0.0013695503,0.9993152,0.3202831398
PolyPhenVal,Maximum AF Diff,Correlation Test,2,NA,-0.794567383,0.9458684,0.054131574,0.1082631479,0.9734096090991812,0.8664624181395348
PolyPhenVal,Maximum AF Diff,Correlation Test,3,NA,0.006410492,0.495919,0.504081018,0.9918379639,0.9724989181818182,0.8823920459001957
priPhyloP,Maximum AF Diff,Correlation Test,1,NA,0.004489419,0.3947712,0.60522876,0.78954248,0.9724989181818182,0.8823920459001957
priPhyloP,Maximum AF Diff,Correlation Test,2,NA,0.01209346,0.2354755,0.76452451,0.47095098,0.9724989181818182,0.8823920459001957
priPhyloP,Maximum AF Diff,Correlation Test,3,NA,-3.269004e-4,0.5075596,0.49244035,0.98488071,0.9724989181818182,0.8823920459001957
mamPhyloP,Maximum AF Diff,Correlation Test,1,NA,-0.05020191,0.9985889,0.001411092,0.002822184,0.9993152,0.3202831398
mamPhyloP,Maximum AF Diff,Correlation Test,2,NA,0.006115406,0.3577235,0.642276451,0.715447097,0.9724989181818182,0.8823920459001957
mamPhyloP,Maximum AF Diff,Correlation Test,3,NA,0.009283664,0.295225,0.70477496,0.59045008,0.9724989181818182,0.8823920459001957
verPhyloP,Maximum AF Diff,Correlation Test,1,NA,-0.05064429,0.9987058,0.001294159,0.002588317,0.9993152,0.3202831398
verPhyloP,Maximum AF Diff,Correlation Test,2,NA,-0.002259246,0.5535662,0.446433769,0.892867538,0.9724989181818182,0.874212124567474
verPhyloP,Maximum AF Diff,Correlation Test,3,NA,0.00305294,0.4297625,0.570237473,0.859525053,0.9724989181818182,0.8823920459001957
GerpN,Maximum AF Diff,Correlation Test,1,NA,-0.0291498,0.9586374,0.041362613,0.082725226,0.9767737832432433,0.8664624181395348
GerpN,Maximum AF Diff,Correlation Test,2,NA,-0.04051168,0.9922184,0.007781608,0.015563215,0.9972231905861455,0.8664624181395348
GerpN,Maximum AF Diff,Correlation Test,3,NA,0.009434577,0.2918773,0.708122655,0.583754691,0.9724989181818182,0.8823920459001957
GerpS,Maximum AF Diff,Correlation Test,1,NA,-0.01252241,0.77193787,0.22806213,0.45612427,0.9724989181818182,0.8664624181395348
GerpS,Maximum AF Diff,Correlation Test,2,NA,0.005761872,0.36545704,0.63454296,0.73091408,0.9724989181818182,0.8823920459001957
GerpS,Maximum AF Diff,Correlation Test,3,NA,0.0161578,0.17402017,0.82597983,0.34804034,0.9724989181818182,0.8890933042492919
bStatistic,Maximum AF Diff,Correlation Test,1,NA,0.006050303,0.36052791,0.6394720921,0.7210558157,0.9724989181818182,0.8823920459001957
bStatistic,Maximum AF Diff,Correlation Test,2,NA,-0.01075815,0.73825586,0.2617441403,0.5234882806,0.9724989181818182,0.8664624181395348
bStatistic,Maximum AF Diff,Correlation Test,3,NA,-0.02960338,0.95594582,0.0440541815,0.088108363,0.9749095783769162,0.8664624181395348
LINSIGHT,Maximum AF Diff,Correlation Test,1,NA,0.003782811,0.41109229,0.58890771,0.82218458,0.9724989181818182,0.8823920459001957
LINSIGHT,Maximum AF Diff,Correlation Test,2,NA,0.007778027,0.32146732,0.67853268,0.64293464,0.9724989181818182,0.8823920459001957
LINSIGHT,Maximum AF Diff,Correlation Test,3,NA,0.03273219,0.02886747,0.97113253,0.05773494,0.9724989181818182,0.9763119034933334
Funseq.Value,Maximum AF Diff,Correlation Test,1,NA,-0.21301021,0.7676591,0.2323409,0.4646818,0.9724989181818182,0.8664624181395348
Funseq.Value,Maximum AF Diff,Correlation Test,2,NA,-0.04026988,0.558857,0.441143,0.882286,0.9724989181818182,0.874212124567474
Funseq.Value,Maximum AF Diff,Correlation Test,3,NA,0.30491942,0.1445623,0.8554377,0.2891247,0.9724989181818182,0.9025443302238806
Aloft.Value,Maximum AF Diff,Correlation Test,1,NA,NA,NA,NA,NA,NA,NA
Aloft.Value,Maximum AF Diff,Correlation Test,2,NA,NA,NA,NA,NA,NA,NA
Aloft.Value,Maximum AF Diff,Correlation Test,3,NA,NA,NA,NA,NA,NA,NA
CpG,Maximum AF Diff,Correlation Test,1,NA,0.007428376,0.32921837,0.670781631,0.65843674,0.9724989181818182,0.8823920459001957
CpG,Maximum AF Diff,Correlation Test,2,NA,-0.04099456,0.9928146,0.007185404,0.01437081,0.9972231905861455,0.8664624181395348
CpG,Maximum AF Diff,Correlation Test,3,NA,0.01221617,0.23901981,0.760980191,0.47803962,0.9724989181818182,0.8823920459001957
GC,Maximum AF Diff,Correlation Test,1,NA,-0.007670684,0.6759822,0.3240177566,0.648035513,0.9724989181818182,0.8664624181395348
GC,Maximum AF Diff,Correlation Test,2,NA,-0.05130128,0.9989081,0.0010919197,0.002183839,0.9993152,0.3202831398
GC,Maximum AF Diff,Correlation Test,3,NA,-0.008739433,0.6941109,0.3058891109,0.611778222,0.9724989181818182,0.8664624181395348
Fathmm.XF,Maximum AF Diff,Correlation Test,1,NA,-0.01271888,0.7750717,0.2249283,0.4498566,0.9724989181818182,0.8664624181395348
Fathmm.XF,Maximum AF Diff,Correlation Test,2,NA,-0.0500572,0.9985841,0.001415929,0.002831859,0.9993152,0.3202831398
Fathmm.XF,Maximum AF Diff,Correlation Test,3,NA,-0.003349817,0.5769747,0.4230253,0.8460506,0.9724989181818182,0.8664624181395348
FIRE Score,Maximum AF Diff,Correlation Test,1,NA,0.01840727,0.1368821,0.86311793,0.2737641,0.9724989181818182,0.9048268638632163
FIRE Score,Maximum AF Diff,Correlation Test,2,NA,0.053748,6.680591e-4,0.99933194,0.001336118,0.7555748420999999,0.99933194
FIRE Score,Maximum AF Diff,Correlation Test,3,NA,0.03676798,0.01643206,0.98356794,0.03286412,0.9724989181818182,0.9859220118334809
ENCFF093VXI,Maximum AF Diff,Correlation Test,1,TSS,0.01462129,0.31467594,0.68532406,0.62935187,0.9724989181818182,0.8823920459001957
ENCFF093VXI,Maximum AF Diff,Correlation Test,1,AVE,0.01850643,0.27063134,0.72936866,0.54126268,0.9724989181818182,0.8823920459001957
ENCFF093VXI,Maximum AF Diff,Correlation Test,2,TSS,0.01526404,0.33851782,0.66148218,0.67703564,0.9724989181818182,0.8823920459001957
ENCFF093VXI,Maximum AF Diff,Correlation Test,2,AVE,0.01837256,0.30806338,0.69193662,0.61612676,0.9724989181818182,0.8823920459001957
ENCFF093VXI,Maximum AF Diff,Correlation Test,3,TSS,-0.04929889,0.86582745,0.13417255,0.26834509,0.9724989181818182,0.8664624181395348
ENCFF093VXI,Maximum AF Diff,Correlation Test,3,AVE,-0.05313414,0.88358685,0.11641315,0.2328263,0.9724989181818182,0.8664624181395348
ENCFF915DFR,Maximum AF Diff,Correlation Test,1,TSS,0.01768384,0.2796955,0.720304497,0.559391007,0.9724989181818182,0.8823920459001957
ENCFF915DFR,Maximum AF Diff,Correlation Test,1,AVE,0.018497510000000002,0.27072877,0.729271226,0.541457547,0.9724989181818182,0.8823920459001957
ENCFF915DFR,Maximum AF Diff,Correlation Test,2,TSS,-0.03429261,0.82535497,0.174645027,0.349290054,0.9724989181818182,0.8664624181395348
ENCFF915DFR,Maximum AF Diff,Correlation Test,2,AVE,-0.02076404,0.71451346,0.285486539,0.570973078,0.9724989181818182,0.8664624181395348
ENCFF915DFR,Maximum AF Diff,Correlation Test,3,TSS,-0.04644754,0.85147734,0.148522665,0.29704533,0.9724989181818182,0.8664624181395348
