ANNOTATION,MEDIATOR,TEST,POTENTIAL_SET,TYPE,TEST_STAT,GREATER,LESS,TWO_SIDED,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,92367,0.03608539,0.96393382,0.07217077,0.99996677,0.9665157855892859
Absolute Distance to TSS,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,288430.5,0.40828061,0.59175725,0.81656121,0.99996677,0.7499788885794814
Absolute Distance to TSS,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,277406,0.4485766,0.55145897,0.8971532,0.99996677,0.7319916630566706
CTCF Binding Site,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,93044,0.3632605,0.63691009,0.7265209,0.99996677,0.7637307748345785
CTCF Binding Site,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,302696.5,0.610857,0.3892101,0.7784202,0.99996677,0.68294209734375
CTCF Binding Site,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,309355,0.2010444,0.79899885,0.4020889,0.99996677,0.853030976532197
Enhancer,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,92560,0.444997306,0.55519412,0.88999461,0.99996677,0.7343733766313311
Enhancer,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,299176,0.845347489,0.15469968,0.30939937,0.99996677,0.48124027878116343
Enhancer,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,294658,0.939251535,0.06076858,0.12153715,0.99996677,0.2938793159227468
Open chromatin,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,91571,0.7241834,0.276099457,0.552198915,0.99996677,0.6340688961370142
Open chromatin,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,308763,0.0737378,0.926307588,0.147475598,0.99996677,0.9363127104626462
Open chromatin,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,302719,0.6286453,0.371458033,0.742916065,0.99996677,0.67866823952589
Promoter Flanking Region,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,96460.5,0.08881257,0.9112392,0.1776251,0.99996677,0.9252455891500905
Promoter Flanking Region,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,308879,0.28263071,0.7174118,0.5652614,0.99996677,0.8097019612060302
Promoter Flanking Region,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,289663.5,0.94465836,0.05535415,0.1107083,0.99996677,0.2714528840611354
Promoter,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,94951,0.1149157,0.8851661,0.2298315,0.99996677,0.9094438878994516
Promoter,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,299833,0.7305238,0.2695308,0.5390617,0.99996677,0.6266730608695652
Promoter,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,306528.5,0.298459,0.7015946,0.5969181,0.99996677,0.7996090909148074
TF binding site,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,91188,0.89833779,0.1018703,0.2037407,0.99996677,0.38282968591973243
TF binding site,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,304909,0.38415141,0.6160347,0.7683028,0.99996677,0.7552477817685591
TF binding site,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,301490,0.84256976,0.1575298,0.3150596,0.99996677,0.48517924319178085
CADD.RawScore,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,84975,0.7562938,0.2437796,0.48755922,0.99996677,0.5969568239738562
CADD.RawScore,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,295257,0.3292184,0.6708161,0.65843683,0.99996677,0.787999585041841
CADD.RawScore,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,284368.5,0.8319902,0.1680311,0.33606211,0.99996677,0.4899054857357513
CADD.PHRED,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,85154.5,0.7429206,0.25715498,0.51430996,0.99996677,0.6147068014084212
CADD.PHRED,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,297829.5,0.2459477,0.75408238,0.4918953,0.99996677,0.8302299144509805
CADD.PHRED,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,287373.5,0.7603107,0.23971568,0.47943136,0.99996677,0.5903524312280701
SIFTval,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,NA,NA,NA,NA,NA,NA
SIFTval,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,NA,NA,NA,NA,NA,NA
SIFTval,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,NA,NA,NA,NA,NA,NA
PolyPhenVal,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,NA,NA,NA,NA,NA,NA
PolyPhenVal,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,NA,NA,NA,NA,NA,NA
PolyPhenVal,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,NA,NA,NA,NA,NA,NA
priPhyloP,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,92804.5,0.11500351,0.885042074,0.23000703,0.99996677,0.9094438878994516
priPhyloP,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,300326,0.16275593,0.837267567,0.32551186,0.99996677,0.873839663328067
priPhyloP,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,278438,0.92207185,0.077940527,0.15588105,0.99996677,0.3357537655172414
mamPhyloP,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,84740,0.7561611,0.24391254,0.487825081,0.99996677,0.5969568239738562
mamPhyloP,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,300408,0.1608377,0.839185631,0.32167537,0.99996677,0.8742165710695732
mamPhyloP,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,285820,0.7858623,0.214162445,0.42832489,0.99996677,0.5632422148360656
verPhyloP,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,85619,0.6870591,0.313024087,0.62604817,0.99996677,0.6588945843087972
verPhyloP,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,299314,0.1876641,0.812361622,0.3753282,0.99996677,0.861326520378175
verPhyloP,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,287952.5,0.7294076,0.270620484,0.54124097,0.99996677,0.6279066188677687
GerpN,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,84553.5,0.7861644,0.213903804,0.42780761,0.99996677,0.5632422148360656
GerpN,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,264064,0.9943199,0.005681647,0.01136329,0.99996677,0.07846441014942528
GerpN,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,259948,0.9987868,0.00121351,0.00242702,0.99996677,0.05047302703703704
GerpS,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,84729,0.77399414,0.2260763,0.4521526,0.99996677,0.5779850924424379
GerpS,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,287098,0.63144732,0.3685886,0.7371773,0.99996677,0.6785655701639344
GerpS,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,296320.5,0.47958074,0.520453,0.9591615,0.99996677,0.7290424567481663
bStatistic,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,84417.5,0.2581634,0.741915988,0.516326732,0.99996677,0.8232921487391304
bStatistic,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,243007,0.9971584,0.002842427,0.005684855,0.99996677,0.0622529642962963
bStatistic,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,279626,0.5036726,0.496362522,0.992725044,0.99996677,0.7229287848780488
LINSIGHT,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,93769.5,0.07389033,0.9261426,0.14778066,0.99996677,0.9363127104626462
LINSIGHT,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,290219.5,0.48723209,0.512806,0.97446419,0.99996677,0.7269242434630516
LINSIGHT,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,316218,0.02461863,0.9753863,0.04923727,0.99996677,0.9762556282531195
Funseq.Value,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,NA,NA,NA,NA,NA,NA
Funseq.Value,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,2.5,0.8227303,0.32171442,0.64342884,0.99996677,0.6588945843087972
Funseq.Value,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,NA,NA,NA,NA,NA,NA
Aloft.Value,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,NA,NA,NA,NA,NA,NA
Aloft.Value,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,NA,NA,NA,NA,NA,NA
Aloft.Value,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,NA,NA,NA,NA,NA,NA
CpG,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,85206.5,0.7402717,0.2598047,0.5196094,0.99996677,0.6147068014084212
CpG,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,289565.5,0.5402239,0.45981411,0.9196282,0.99996677,0.7055920995251018
CpG,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,286784.5,0.7764981,0.22352734,0.4470547,0.99996677,0.5774630190344828
GC,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,86626,0.6208179,0.37927125,0.7585425,0.99996677,0.6818978298092211
GC,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,284886,0.707661,0.29237178,0.58474357,0.99996677,0.6442576571150097
GC,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,295222.5,0.5167034,0.48333038,0.96666077,0.99996677,0.7172169133905013
Fathmm.XF,Top SNV Discovered in YRI,Wilcoxon Test,1,NA,84934,0.73560009,0.26447684,0.5289537,0.99996677,0.6198808956499999
Fathmm.XF,Top SNV Discovered in YRI,Wilcoxon Test,2,NA,290905,0.46116055,0.53887738,0.9223211,0.99996677,0.7300496040479043
Fathmm.XF,Top SNV Discovered in YRI,Wilcoxon Test,3,NA,290393,0.5936862,0.40634689,0.8126938,0.99996677,0.6926878882057488
