"","index","genome","identifier","file","clip","scale","sum_stat","description"
"1",12,0,"ENCFF093VXI","/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EJD/summary/coverage.w5",32,2,"mean","DNASE:GM12878"
"2",69,0,"ENCFF915DFR","/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EMT/summary/coverage.w5",32,2,"mean","DNASE:GM12878"
"3",686,0,"ENCFF776DPQ","/home/drk/tillage/datasets/human/chip/encode/ENCSR000AKA/summary/ENCFF776DPQ.w5",32,2,"mean","CHIP:H3K4me3:GM12878"
"4",687,0,"ENCFF279CYY","/home/drk/tillage/datasets/human/chip/encode/ENCSR000AKB/summary/ENCFF279CYY.w5",32,2,"mean","CHIP:CTCF:GM12878"
"5",688,0,"ENCFF340JIF","/home/drk/tillage/datasets/human/chip/encode/ENCSR000AKC/summary/ENCFF340JIF.w5",32,2,"mean","CHIP:H3K27ac:GM12878"
"6",689,0,"ENCFF313LYI","/home/drk/tillage/datasets/human/chip/encode/ENCSR000AKD/summary/ENCFF313LYI.w5",32,2,"mean","CHIP:H3K27me3:GM12878"
"7",690,0,"ENCFF831ZHL","/home/drk/tillage/datasets/human/chip/encode/ENCSR000AKF/summary/ENCFF831ZHL.w5",32,2,"mean","CHIP:H3K4me1:GM12878"
"8",691,0,"ENCFF039HDL","/home/drk/tillage/datasets/human/chip/encode/ENCSR000AKG/summary/ENCFF039HDL.w5",32,2,"mean","CHIP:H3K4me2:GM12878"
"9",692,0,"ENCFF028KBY","/home/drk/tillage/datasets/human/chip/encode/ENCSR000AKH/summary/ENCFF028KBY.w5",32,2,"mean","CHIP:H3K9ac:GM12878"
"10",693,0,"ENCFF309OEW","/home/drk/tillage/datasets/human/chip/encode/ENCSR000AKI/summary/ENCFF309OEW.w5",32,2,"mean","CHIP:H4K20me1:GM12878"
"11",754,0,"ENCFF601YET","/home/drk/tillage/datasets/human/chip/encode/ENCSR000AOV/summary/ENCFF601YET.w5",32,2,"mean","CHIP:H2AFZ:GM12878"
"12",755,0,"ENCFF803DJF","/home/drk/tillage/datasets/human/chip/encode/ENCSR000AOW/summary/ENCFF803DJF.w5",32,2,"mean","CHIP:H3K79me2:GM12878"
"13",794,0,"ENCFF775CVC","/home/drk/tillage/datasets/human/chip/encode/ENCSR000ARD/summary/ENCFF775CVC.w5",32,2,"mean","CHIP:EZH2:GM12878"
"14",868,0,"ENCFF600UCV","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BGD/summary/ENCFF600UCV.w5",32,2,"mean","CHIP:POLR2A:GM12878"
"15",869,0,"ENCFF839SCO","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BGE/summary/ENCFF839SCO.w5",32,2,"mean","CHIP:SRF:GM12878"
"16",870,0,"ENCFF557SNT","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BGF/summary/ENCFF557SNT.w5",32,2,"mean","CHIP:REST:GM12878"
"17",871,0,"ENCFF344JQP","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BGI/summary/ENCFF344JQP.w5",32,2,"mean","CHIP:USF1:GM12878"
"18",876,0,"ENCFF535BIH","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BGR/summary/ENCFF535BIH.w5",32,2,"mean","CHIP:PBX3:GM12878"
"19",877,0,"ENCFF105MPH","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BGS/summary/ENCFF105MPH.w5",32,2,"mean","CHIP:TAF1:GM12878"
"20",878,0,"ENCFF424MMT","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BGT/summary/ENCFF424MMT.w5",32,2,"mean","CHIP:BATF:GM12878"
"21",879,0,"ENCFF107LDM","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BGU/summary/ENCFF107LDM.w5",32,2,"mean","CHIP:EBF1:GM12878"
"22",880,0,"ENCFF185INW","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BGY/summary/ENCFF185INW.w5",32,2,"mean","CHIP:IRF4:GM12878"
"23",881,0,"ENCFF481DWO","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BGZ/summary/ENCFF481DWO.w5",32,2,"mean","CHIP:TCF12:GM12878"
"24",882,0,"ENCFF898IWR","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BHA/summary/ENCFF898IWR.w5",32,2,"mean","CHIP:BCL11A:GM12878"
"25",883,0,"ENCFF399SZY","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BHB/summary/ENCFF399SZY.w5",32,2,"mean","CHIP:EP300:GM12878"
"26",884,0,"ENCFF806TFL","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BHC/summary/ENCFF806TFL.w5",32,2,"mean","CHIP:ZBTB33:GM12878"
"27",885,0,"ENCFF702MTT","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BHD/summary/ENCFF702MTT.w5",32,2,"mean","CHIP:PAX5:GM12878"
"28",891,0,"ENCFF851GCH","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BHJ/summary/ENCFF851GCH.w5",32,2,"mean","CHIP:PAX5:GM12878"
"29",905,0,"ENCFF647IAI","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BIF/summary/ENCFF647IAI.w5",32,2,"mean","CHIP:POLR2AphosphoS5:GM12878"
"30",924,0,"ENCFF951RXW","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BJD/summary/ENCFF951RXW.w5",32,2,"mean","CHIP:RXRA:GM12878"
"31",925,0,"ENCFF916XGL","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BJE/summary/ENCFF916XGL.w5",32,2,"mean","CHIP:SIX5:GM12878"
"32",940,0,"ENCFF870HVW","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BJZ/summary/ENCFF870HVW.w5",32,2,"mean","CHIP:BCLAF1:GM12878"
"33",941,0,"ENCFF103EJS","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BKA/summary/ENCFF103EJS.w5",32,2,"mean","CHIP:ETS1:GM12878"
"34",942,0,"ENCFF373KCT","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BKB/summary/ENCFF373KCT.w5",32,2,"mean","CHIP:MEF2A:GM12878"
"35",974,0,"ENCFF821PRO","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BMI/summary/ENCFF821PRO.w5",32,2,"mean","CHIP:SRF:GM12878"
"36",984,0,"ENCFF916YVI","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BMY/summary/ENCFF916YVI.w5",32,2,"mean","CHIP:RAD21:GM12878"
"37",988,0,"ENCFF872HOJ","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BNG/summary/ENCFF872HOJ.w5",32,2,"mean","CHIP:MEF2C:GM12878"
"38",994,0,"ENCFF683NGY","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BNP/summary/ENCFF683NGY.w5",32,2,"mean","CHIP:YY1:GM12878"
"39",995,0,"ENCFF641QFU","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BNQ/summary/ENCFF641QFU.w5",32,2,"mean","CHIP:BCL3:GM12878"
"40",1029,0,"ENCFF732LDY","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BQK/summary/ENCFF732LDY.w5",32,2,"mean","CHIP:ATF2:GM12878"
"41",1030,0,"ENCFF564YOV","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BQL/summary/ENCFF564YOV.w5",32,2,"mean","CHIP:NFATC1:GM12878"
"42",1036,0,"ENCFF027PQW","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BQS/summary/ENCFF027PQW.w5",32,2,"mean","CHIP:REST:GM12878"
"43",1038,0,"ENCFF249CGE","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BQZ/summary/ENCFF249CGE.w5",32,2,"mean","CHIP:STAT5A:GM12878"
"44",1043,0,"ENCFF357OHD","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BRG/summary/ENCFF357OHD.w5",32,2,"mean","CHIP:EGR1:GM12878"
"45",1044,0,"ENCFF655JEP","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BRH/summary/ENCFF655JEP.w5",32,2,"mean","CHIP:MTA3:GM12878"
"46",1045,0,"ENCFF335BBU","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BRI/summary/ENCFF335BBU.w5",32,2,"mean","CHIP:RUNX3:GM12878"
"47",1049,0,"ENCFF388KAP","/home/drk/tillage/datasets/human/chip/encode/ENCSR000BRN/summary/ENCFF388KAP.w5",32,2,"mean","CHIP:NFIC:GM12878"
"48",1087,0,"ENCFF239BIV","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DNM/summary/ENCFF239BIV.w5",32,2,"mean","CHIP:NFYB:GM12878"
"49",1088,0,"ENCFF878TJY","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DNN/summary/ENCFF878TJY.w5",32,2,"mean","CHIP:NFYA:GM12878"
"50",1089,0,"ENCFF720RCP","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DNO/summary/ENCFF720RCP.w5",32,2,"mean","CHIP:KAT2A:GM12878"
"51",1090,0,"ENCFF087OWB","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DNP/summary/ENCFF087OWB.w5",32,2,"mean","CHIP:SUPT20H:GM12878"
"52",1091,0,"ENCFF636KMF","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DNQ/summary/ENCFF636KMF.w5",32,2,"mean","CHIP:ZZZ3:GM12878"
"53",1141,0,"ENCFF171MDW","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DRW/summary/ENCFF171MDW.w5",32,2,"mean","CHIP:H3K36me3:GM12878"
"54",1142,0,"ENCFF039JOT","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DRX/summary/ENCFF039JOT.w5",32,2,"mean","CHIP:H3K27me3:GM12878"
"55",1143,0,"ENCFF583MDQ","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DRY/summary/ENCFF583MDQ.w5",32,2,"mean","CHIP:H3K4me3:GM12878"
"56",1246,0,"ENCFF469XZI","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DYP/summary/ENCFF469XZI.w5",32,2,"mean","CHIP:ZNF384:GM12878"
"57",1247,0,"ENCFF440TNS","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DYQ/summary/ENCFF440TNS.w5",32,2,"mean","CHIP:ESRRA:GM12878"
"58",1248,0,"ENCFF195RAW","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DYR/summary/ENCFF195RAW.w5",32,2,"mean","CHIP:CUX1:GM12878"
"59",1249,0,"ENCFF116XIJ","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DYS/summary/ENCFF116XIJ.w5",32,2,"mean","CHIP:JUND:GM12878"
"60",1250,0,"ENCFF100QMI","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DYV/summary/ENCFF100QMI.w5",32,2,"mean","CHIP:MAFK:GM12878"
"61",1251,0,"ENCFF109XHK","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DYX/summary/ENCFF109XHK.w5",32,2,"mean","CHIP:SIN3A:GM12878"
"62",1252,0,"ENCFF417WYL","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DYY/summary/ENCFF417WYL.w5",32,2,"mean","CHIP:E2F4:GM12878"
"63",1253,0,"ENCFF061ZIL","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DYZ/summary/ENCFF061ZIL.w5",32,2,"mean","CHIP:TBL1XR1:GM12878"
"64",1254,0,"ENCFF256TBW","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZA/summary/ENCFF256TBW.w5",32,2,"mean","CHIP:MAZ:GM12878"
"65",1255,0,"ENCFF308NKV","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZB/summary/ENCFF308NKV.w5",32,2,"mean","CHIP:ELK1:GM12878"
"66",1256,0,"ENCFF118ZGB","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZC/summary/ENCFF118ZGB.w5",32,2,"mean","CHIP:RCOR1:GM12878"
"67",1257,0,"ENCFF977NLF","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZD/summary/ENCFF977NLF.w5",32,2,"mean","CHIP:EP300:GM12878"
"68",1258,0,"ENCFF322MQW","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZE/summary/ENCFF322MQW.w5",32,2,"mean","CHIP:CHD1:GM12878"
"69",1259,0,"ENCFF348NRU","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZF/summary/ENCFF348NRU.w5",32,2,"mean","CHIP:MAX:GM12878"
"70",1260,0,"ENCFF167VDA","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZG/summary/ENCFF167VDA.w5",32,2,"mean","CHIP:EP300:GM12878"
"71",1261,0,"ENCFF482UOW","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZI/summary/ENCFF482UOW.w5",32,2,"mean","CHIP:MXI1:GM12878"
"72",1262,0,"ENCFF945XXY","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZJ/summary/ENCFF945XXY.w5",32,2,"mean","CHIP:BHLHE40:GM12878"
"73",1263,0,"ENCFF086FEO","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZK/summary/ENCFF086FEO.w5",32,2,"mean","CHIP:POLR2AphosphoS2:GM12878"
"74",1264,0,"ENCFF972SJN","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZL/summary/ENCFF972SJN.w5",32,2,"mean","CHIP:ZNF143:GM12878"
"75",1265,0,"ENCFF578TBN","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZN/summary/ENCFF578TBN.w5",32,2,"mean","CHIP:CTCF:GM12878"
"76",1266,0,"ENCFF293CPQ","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZO/summary/ENCFF293CPQ.w5",32,2,"mean","CHIP:NRF1:GM12878"
"77",1267,0,"ENCFF782WWH","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZP/summary/ENCFF782WWH.w5",32,2,"mean","CHIP:SMC3:GM12878"
"78",1268,0,"ENCFF170NTY","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZQ/summary/ENCFF170NTY.w5",32,2,"mean","CHIP:EBF1:GM12878"
"79",1269,0,"ENCFF766HMR","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZR/summary/ENCFF766HMR.w5",32,2,"mean","CHIP:CHD2:GM12878"
"80",1270,0,"ENCFF983EKB","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZS/summary/ENCFF983EKB.w5",32,2,"mean","CHIP:BRCA1:GM12878"
"81",1271,0,"ENCFF109ZHE","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZU/summary/ENCFF109ZHE.w5",32,2,"mean","CHIP:USF2:GM12878"
"82",1272,0,"ENCFF950RYY","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZV/summary/ENCFF950RYY.w5",32,2,"mean","CHIP:STAT3:GM12878"
"83",1273,0,"ENCFF300YPA","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZW/summary/ENCFF300YPA.w5",32,2,"mean","CHIP:RFX5:GM12878"
"84",1274,0,"ENCFF595QZS","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZX/summary/ENCFF595QZS.w5",32,2,"mean","CHIP:IRF3:GM12878"
"85",1275,0,"ENCFF899KXS","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZY/summary/ENCFF899KXS.w5",32,2,"mean","CHIP:NFE2:GM12878"
"86",1276,0,"ENCFF554YCY","/home/drk/tillage/datasets/human/chip/encode/ENCSR000DZZ/summary/ENCFF554YCY.w5",32,2,"mean","CHIP:TBP:GM12878"
"87",1277,0,"ENCFF483PQP","/home/drk/tillage/datasets/human/chip/encode/ENCSR000EAA/summary/ENCFF483PQP.w5",32,2,"mean","CHIP:WRNIP1:GM12878"
