"GENE_ID","GEUVADIS","IN_GENCODE","CHR","LEFT","TSS","RIGHT","DIRECTION"
"1","ENSG00000001036","ENSG00000001036.8",TRUE,"chr6",142832857,143832857,144832857,"-"
"2","ENSG00000001084","ENSG00000001084.6",TRUE,"chr6",52481768,53481768,54481768,"-"
"3","ENSG00000001167","ENSG00000001167.10",TRUE,"chr6",40040713,41040713,42040713,"+"
"4","ENSG00000001561","ENSG00000001561.5",TRUE,"chr6",45097726,46097726,47097726,"+"
"5","ENSG00000005700","ENSG00000005700.10",TRUE,"chr6",81957471,82957471,83957471,"-"
"6","ENSG00000007866","ENSG00000007866.13",TRUE,"chr6",34464856,35464856,36464856,"-"
"7","ENSG00000007944","ENSG00000007944.10",TRUE,"chr6",15129317,16129317,17129317,"+"
"8","ENSG00000008018","ENSG00000008018.7",TRUE,"chr6",169862395,170862395,171862395,"-"
"9","ENSG00000008083","ENSG00000008083.8",TRUE,"chr6",14246300,15246300,16246300,"+"
"10","ENSG00000009413","ENSG00000009413.10",TRUE,"chr6",110804918,111804918,112804918,"-"
"11","ENSG00000009844","ENSG00000009844.9",TRUE,"chr6",141468299,142468299,143468299,"+"
"12","ENSG00000010017","ENSG00000010017.8",TRUE,"chr6",12712067,13712067,14712067,"-"
"13","ENSG00000010030","ENSG00000010030.9",TRUE,"chr6",35355577,36355577,37355577,"-"
"14","ENSG00000010704","ENSG00000010704.13",TRUE,"chr6",25087509,26087509,27087509,"+"
"15","ENSG00000010810","ENSG00000010810.11",TRUE,"chr6",111194655,112194655,113194655,"-"
"16","ENSG00000010818","ENSG00000010818.4",TRUE,"chr6",142277835,143277835,144277835,"-"
"17","ENSG00000012660","ENSG00000012660.9",TRUE,"chr6",52213977,53213977,54213977,"-"
"18","ENSG00000013375","ENSG00000013375.9",TRUE,"chr6",82903655,83903655,84903655,"-"
"19","ENSG00000013392","ENSG00000013392.5",TRUE,"chr6",82903076,83903076,84903076,"+"
"20","ENSG00000014123","ENSG00000014123.9",TRUE,"chr6",95969471,96969471,97969471,"+"
"21","ENSG00000021355","ENSG00000021355.7",TRUE,"chr6",1842193,2842193,3842193,"-"
"22","ENSG00000023892","ENSG00000023892.8",TRUE,"chr6",34265595,35265595,36265595,"+"
"23","ENSG00000024048","ENSG00000024048.6",TRUE,"chr6",41531767,42531767,43531767,"+"
"24","ENSG00000024862","ENSG00000024862.11",TRUE,"chr6",138094906,139094906,140094906,"+"
"25","ENSG00000025039","ENSG00000025039.9",TRUE,"chr6",89121992,90121992,91121992,"-"
"26","ENSG00000025156","ENSG00000025156.7",TRUE,"chr6",121720696,122720696,123720696,"+"
"27","ENSG00000025796","ENSG00000025796.8",TRUE,"chr6",107279412,108279412,109279412,"-"
"28","ENSG00000026297","ENSG00000026297.10",TRUE,"chr6",166370679,167370679,168370679,"-"
"29","ENSG00000026652","ENSG00000026652.9",TRUE,"chr6",160695093,161695093,162695093,"-"
"30","ENSG00000026950","ENSG00000026950.12",TRUE,"chr6",25402465,26402465,27402465,"+"
"31","ENSG00000027697","ENSG00000027697.7",TRUE,"chr6",136540586,137540586,138540586,"-"
"32","ENSG00000028839","ENSG00000028839.4",TRUE,"chr6",133273308,134273308,135273308,"+"
"33","ENSG00000029363","ENSG00000029363.11",TRUE,"chr6",135610989,136610989,137610989,"-"
"34","ENSG00000029639","ENSG00000029639.6",TRUE,"chr6",154635627,155635627,156635627,"-"
"35","ENSG00000030110","ENSG00000030110.7",TRUE,"chr6",32548070,33548070,34548070,"-"
"36","ENSG00000031691","ENSG00000031691.5",TRUE,"chr6",48431083,49431083,50431083,"+"
