ensembl_version_id,GENEID,SYMBOL,GENEBIOTYPE,INPUT
ENSG00000001626.8,ENSG00000001626,CFTR,protein_coding,ENSG00000001626.8 (CFTR)
ENSG00000001629.5,ENSG00000001629,ANKIB1,protein_coding,ENSG00000001629.5 (ANKIB1)
ENSG00000001630.10,ENSG00000001630,CYP51A1,protein_coding,ENSG00000001630.10 (CYP51A1)
ENSG00000001631.9,ENSG00000001631,KRIT1,protein_coding,ENSG00000001631.9 (KRIT1)
ENSG00000002079.8,ENSG00000002079,MYH16,unitary_pseudogene,ENSG00000002079.8 (MYH16)
ENSG00000002726.14,ENSG00000002726,AOC1,protein_coding,ENSG00000002726.14 (AOC1)
ENSG00000002745.7,ENSG00000002745,WNT16,protein_coding,ENSG00000002745.7 (WNT16)
ENSG00000002746.8,ENSG00000002746,HECW1,protein_coding,ENSG00000002746.8 (HECW1)
ENSG00000002822.9,ENSG00000002822,MAD1L1,protein_coding,ENSG00000002822.9 (MAD1L1)
ENSG00000002933.3,ENSG00000002933,TMEM176A,protein_coding,ENSG00000002933.3 (TMEM176A)
ENSG00000003147.13,ENSG00000003147,ICA1,protein_coding,ENSG00000003147.13 (ICA1)
ENSG00000004059.5,ENSG00000004059,ARF5,protein_coding,ENSG00000004059.5 (ARF5)
ENSG00000004766.11,ENSG00000004766,CCDC132,protein_coding,ENSG00000004766.11 (CCDC132)
ENSG00000004864.8,ENSG00000004864,SLC25A13,protein_coding,ENSG00000004864.8 (SLC25A13)
ENSG00000004866.13,ENSG00000004866,ST7,protein_coding,ENSG00000004866.13 (ST7)
ENSG00000005020.8,ENSG00000005020,SKAP2,protein_coding,ENSG00000005020.8 (SKAP2)
ENSG00000005075.11,ENSG00000005075,POLR2J,protein_coding,ENSG00000005075.11 (POLR2J)
ENSG00000005249.6,ENSG00000005249,PRKAR2B,protein_coding,ENSG00000005249.6 (PRKAR2B)
ENSG00000005469.7,ENSG00000005469,CROT,protein_coding,ENSG00000005469.7 (CROT)
ENSG00000005471.11,ENSG00000005471,ABCB4,protein_coding,ENSG00000005471.11 (ABCB4)
ENSG00000005483.13,ENSG00000005483,KMT2E,protein_coding,ENSG00000005483.13 (KMT2E)
ENSG00000005486.10,ENSG00000005486,RHBDD2,protein_coding,ENSG00000005486.10 (RHBDD2)
ENSG00000006451.3,ENSG00000006451,RALA,protein_coding,ENSG00000006451.3 (RALA)
ENSG00000006453.9,ENSG00000006453,BAIAP2L1,protein_coding,ENSG00000006453.9 (BAIAP2L1)
ENSG00000006459.6,ENSG00000006459,KDM7A,protein_coding,ENSG00000006459.6 (KDM7A)
ENSG00000006530.10,ENSG00000006530,AGK,protein_coding,ENSG00000006530.10 (AGK)
ENSG00000006576.11,ENSG00000006576,PHTF2,protein_coding,ENSG00000006576.11 (PHTF2)
ENSG00000006625.11,ENSG00000006625,GGCT,protein_coding,ENSG00000006625.11 (GGCT)
ENSG00000006634.3,ENSG00000006634,DBF4,protein_coding,ENSG00000006634.3 (DBF4)
ENSG00000006652.8,ENSG00000006652,IFRD1,protein_coding,ENSG00000006652.8 (IFRD1)
ENSG00000006704.6,ENSG00000006704,GTF2IRD1,protein_coding,ENSG00000006704.6 (GTF2IRD1)
ENSG00000006715.11,ENSG00000006715,VPS41,protein_coding,ENSG00000006715.11 (VPS41)
ENSG00000006747.10,ENSG00000006747,SCIN,protein_coding,ENSG00000006747.10 (SCIN)
ENSG00000008256.11,ENSG00000008256,CYTH3,protein_coding,ENSG00000008256.11 (CYTH3)
ENSG00000008277.10,ENSG00000008277,ADAM22,protein_coding,ENSG00000008277.10 (ADAM22)
ENSG00000008282.3,ENSG00000008282,SYPL1,protein_coding,ENSG00000008282.3 (SYPL1)
ENSG00000008311.10,ENSG00000008311,AASS,protein_coding,ENSG00000008311.10 (AASS)
ENSG00000009335.13,ENSG00000009335,UBE3C,protein_coding,ENSG00000009335.13 (UBE3C)
ENSG00000009954.6,ENSG00000009954,BAZ1B,protein_coding,ENSG00000009954.6 (BAZ1B)
ENSG00000010270.9,ENSG00000010270,STARD3NL,protein_coding,ENSG00000010270.9 (STARD3NL)
